type,rating
tv,3.51
tv,3.51
tv,3.51
tv,3.5
movie,3.5
movie,3.5
movie,3.5
tv,3.5
movie,3.5
tv,3.5
movie,3.5
tv,3.5
movie,3.5
movie,3.5
movie,3.5
movie,3.5
movie,3.5
tv,3.5
movie,3.5
tv,3.5
tv,3.49
tv,3.49
tv,3.49
movie,3.49
movie,3.49
movie,3.49
tv,3.49
tv,3.49
tv,3.49
tv,3.49
tv,3.49
tv,3.49
tv,3.49
tv,3.49
tv,3.49
tv,3.49
movie,3.49
movie,3.49
tv,3.49
tv,3.49
movie,3.49
tv,3.49
tv,3.49
tv,3.49
tv,3.49
tv,3.48
tv,3.48
tv,3.48
tv,3.48
tv,3.48
tv,3.48
tv,3.48
tv,3.48
tv,3.48
movie,3.48
movie,3.48
tv,3.48
tv,3.48
tv,3.48
movie,3.48
tv,3.48
tv,3.48
tv,3.48
movie,3.48
tv,3.48
tv,3.47
tv,3.47
tv,3.47
tv,3.47
tv,3.47
tv,3.47
movie,3.47
movie,3.47
movie,3.47
tv,3.47
tv,3.47
movie,3.47
tv,3.47
movie,3.47
movie,3.47
movie,3.47
tv,3.47
tv,3.46
tv,3.46
movie,3.46
tv,3.46
tv,3.46
tv,3.46
tv,3.46
tv,3.46
tv,3.46
tv,3.46
tv,3.46
tv,3.46
tv,3.46
tv,3.46
tv,3.46
tv,3.46
tv,3.46
tv,3.46
movie,3.46
tv,3.46
tv,3.45
tv,3.45
movie,3.45
tv,3.45
movie,3.45
tv,3.45
tv,3.45
movie,3.45
movie,3.45
tv,3.45
tv,3.45
tv,3.45
tv,3.45
tv,3.45
tv,3.45
tv,3.45
movie,3.45
movie,3.45
movie,3.45
tv,3.44
tv,3.44
tv,3.44
tv,3.44
tv,3.44
tv,3.44
tv,3.44
movie,3.44
tv,3.44
tv,3.44
movie,3.44
tv,3.44
tv,3.44
tv,3.44
tv,3.44
tv,3.44
tv,3.44
movie,3.43
tv,3.43
tv,3.43
tv,3.43
tv,3.43
tv,3.43
tv,3.43
tv,3.43
tv,3.43
tv,3.43
tv,3.42
tv,3.42
movie,3.42
movie,3.42
tv,3.42
tv,3.42
tv,3.42
tv,3.42
tv,3.42
movie,3.42
movie,3.42
movie,3.42
tv,3.42
tv,3.42
tv,3.42
tv,3.42
tv,3.42
tv,3.42
movie,3.42
tv,3.41
tv,3.41
tv,3.41
tv,3.41
tv,3.41
tv,3.41
tv,3.41
tv,3.41
movie,3.41
movie,3.41
tv,3.41
movie,3.41
tv,3.41
tv,3.41
movie,3.41
movie,3.41
movie,3.41
tv,3.41
tv,3.41
tv,3.41
tv,3.4
tv,3.4
tv,3.4
tv,3.4
movie,3.4
tv,3.4
tv,3.4
movie,3.4
tv,3.4
tv,3.4
tv,3.4
tv,3.4
tv,3.4
movie,3.4
tv,3.4
movie,3.4
movie,3.4
tv,3.4
tv,3.4
movie,3.4
movie,3.4
movie,3.4
tv,3.39
movie,3.39
tv,3.39
tv,3.39
tv,3.39
movie,3.39
tv,3.39
tv,3.39
movie,3.39
tv,3.39
movie,3.39
tv,3.38
movie,3.38
tv,3.38
tv,3.38
movie,3.38
tv,3.38
movie,3.38
tv,3.38
tv,3.38
tv,3.38
movie,3.38
tv,3.38
movie,3.38
tv,3.37
tv,3.37
tv,3.37
tv,3.37
movie,3.37
tv,3.37
tv,3.37
tv,3.37
tv,3.37
tv,3.37
movie,3.37
movie,3.37
tv,3.37
tv,3.37
tv,3.37
tv,3.37
tv,3.37
tv,3.37
tv,3.36
tv,3.36
tv,3.36
tv,3.36
tv,3.36
tv,3.36
tv,3.36
tv,3.36
tv,3.36
tv,3.36
movie,3.36
tv,3.36
tv,3.36
movie,3.36
movie,3.36
tv,3.36
tv,3.36
tv,3.35
tv,3.35
tv,3.35
tv,3.35
tv,3.35
tv,3.35
tv,3.35
tv,3.35
tv,3.35
tv,3.35
tv,3.35
tv,3.35
tv,3.35
tv,3.35
tv,3.35
tv,3.35
movie,3.35
tv,3.35
tv,3.35
tv,3.34
tv,3.34
movie,3.34
movie,3.34
tv,3.34
tv,3.34
tv,3.34
tv,3.34
tv,3.34
movie,3.34
tv,3.34
